longitude,latitude,housing_median_age,median_house_value,bedrooms_per_room,population_per_household,<1h ocean,log_total_bedrooms,log_population,log_households,log_median_income,inland,near ocean,island,rooms_per_household,log_total_rooms
-1.3278030546903157,1.0525227849496683,0.982118865674764,very expensive,-1.0299628811021668,-0.049595334664572416,-0.8911341520065492,-1.6421520750420002,-1.6949018230592767,4.844187086458591,2.23272041302106,0,0,0,6.984126984126984,6.78105762593618
-1.3228118684352146,1.0431592803960026,-0.6070042082805065,very expensive,-0.8888756697443015,-0.09250998908805332,-0.8911341520065492,1.3200107658636917,1.0303120823280882,7.037905963447182,2.2301649264639662,0,0,0,6.238137082601054,8.867850063029406
-1.3327942409454097,1.0384775281191714,1.8561365563501628,very expensive,-1.2916543691032343,-0.02584190175706433,-0.8911341520065492,-1.1100669728050885,-1.1095775202028244,5.181783550292085,2.111109768006633,0,0,0,8.288135593220339,7.291656209174461
-1.3377854272005107,1.0384775281191714,1.8561365563501628,expensive,-0.4496019117668182,-0.050328081993623416,-0.8911341520065492,-0.8174866334052487,-0.9499015370275657,5.393627546352362,1.893578722009513,0,0,0,5.8173515981735155,7.150701457592526
-1.3377854272005107,1.0384775281191714,1.8561365563501628,expensive,-0.6390710915761736,-0.08561368522678985,-0.8911341520065492,-0.576125550939677,-0.9329985607376868,5.560681631015528,1.5781948926941685,0,0,0,6.281853281853282,7.395107546562485
-1.3377854272005107,1.0384775281191714,1.8561365563501628,expensive,0.27555666668349954,-0.08961624733292776,-0.8911341520065492,-0.9528189263656166,-1.3577638074492935,5.267858159063328,1.6167709598008924,0,0,0,4.761658031088083,6.824373670043086
-1.3377854272005107,1.0337957758423402,1.8561365563501628,expensive,-0.3202341473964917,-0.09072270303848337,-0.8911341520065492,0.19287972893835634,-0.036663394670445645,6.244166900663736,1.5388222964377556,0,0,0,4.9319066147859925,7.8383433155571165
-1.3377854272005107,1.0337957758423402,1.8561365563501628,moderate,0.11545489118079101,-0.12347347989875977,-0.8911341520065492,0.6622391817653451,0.03931754313040494,6.473890696352274,1.415853163361435,0,0,0,4.797527047913447,8.040768994367578
-1.3427766134556118,1.0337957758423402,1.0615750193725275,moderate,0.7123552271476031,-0.1004967670221087,-0.8911341520065492,0.6172935853686234,0.09560856718877382,6.39024066706535,1.125059458682958,0,0,0,4.294117647058823,7.846198815497425
-1.3377854272005107,1.0337957758423402,1.8561365563501628,expensive,-0.22350136030413503,-0.08649932262424859,-0.8911341520065492,0.7018687373314337,0.43708326631764083,6.5722825426940075,1.5456884132701407,0,0,0,4.970588235294118,8.174702882469461
